tempo;regiao;instituicao;localizacao_geografica;psicologia_primeiras_consultas;psicologia_consultas_subsequentes;psicologia_total_de_consultas
2023-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;439;1532;1971
2023-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;366;1991;2357
2023-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;424;1724;2148
2023-06;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;598;3272;3870
2023-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE, EPE;39.4054629,-9.1258493;481;1736;2217
2023-06;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;737;3370;4107
2023-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;295;66;361
2023-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;182;966;1148
2023-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;259;1034;1293
2023-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;1022;4102;5124
2023-07;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;3203;10952;14155
2023-07;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;144;559;703
2023-07;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;403;1714;2117
2023-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;2660;14914;17574
2023-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;576;2353;2929
2023-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1226;7418;8644
2023-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;327;76;403
2023-07;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;163;1031;1194
2023-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;63;599;662
2023-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;655;3215;3870
2023-08;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;319;1564;1883
2023-08;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;441;2129;2570
2023-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1189;8042;9231
2023-08;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;441;1853;2294
2023-08;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;1636;13242;14878
2023-08;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;420;2051;2471
2023-08;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;350;80;430
2023-08;Região de Saúde Norte;Centro Hospitalar Universitário de Santo António, EPE;41.1472498,-8.6172617;3657;9484;13141
2023-08;Região de Saúde Norte;Hospital de Braga, EPE;41.56785,-8.398982;844;3684;4528
2023-08;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;185;1162;1347
2023-08;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;665;2306;2971
2023-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;218;1177;1395
2018-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;5;81;86
2018-01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;0;0;0
2018-01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;47;255;302
2018-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;72;593;665
2018-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;0;1;1
2018-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;53;0;53
2018-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;0;0;0
2018-01;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;75;303;378
2018-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;169;735;904
2018-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;63;312;375
2018-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;102;431;533
2018-02;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;16;115;131
2018-02;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;15;312;327
2018-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;156;1105;1261
2018-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;231;1661;1892
2018-02;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;613;4515;5128
2018-02;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;184;856;1040
2018-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;178;1601;1779
2018-02;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;0;0;0
2018-02;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;213;599;812
2018-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;198;736;934
2018-02;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;161;356;517
2018-02;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;355;1083;1438
2018-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;116;837;953
2018-03;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;371;1397;1768
2018-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;24;475;499
2018-03;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;233;1589;1822
2018-03;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;351;2585;2936
2018-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;389;649;1038
2018-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;289;1269;1558
2018-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;602;5435;6037
2018-03;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;385;1825;2210
2018-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;47;635;682
2018-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;295;2472;2767
2018-03;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;191;890;1081
2018-03;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;87;626;713
2018-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;0;0;0
2018-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;223;858;1081
2018-04;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;29;631;660
2018-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;167;936;1103
2018-04;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;281;1223;1504
2018-04;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;0;120;120
2018-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;552;1730;2282
2018-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;87;194;281
2018-04;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;107;801;908
2018-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;607;2190;2797
2018-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;23;356;379
2018-05;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;55;326;381
2018-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;226;1595;1821
2018-05;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;388;2533;2921
2018-05;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;0;7;7
2018-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;653;2186;2839
2018-05;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;486;1724;2210
2018-05;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;323;1555;1878
2018-05;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;146;997;1143
2018-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;30;417;447
2018-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;403;1315;1718
2018-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;266;1382;1648
2018-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;254;1828;2082
2018-06;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1749;13135;14884
2018-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;1171;10516;11687
2018-06;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;389;1851;2240
2018-06;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;731;3530;4261
2018-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;343;1;344
2018-07;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;593;4826;5419
2018-07;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;109;409;518
2018-07;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;547;3382;3929
2018-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1663;6644;8307
2018-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;650;3116;3766
2018-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;851;4098;4949
2018-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;0;7;7
2018-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;371;1;372
2018-07;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;215;1404;1619
2018-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;349;2130;2479
2018-08;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;78;448;526
2018-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;644;3792;4436
2018-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;912;4355;5267
2018-08;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;178;1562;1740
2018-08;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;1189;2651;3840
2018-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;120;264;384
2018-08;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;1420;3197;4617
2018-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;762;2657;3419
2018-08;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;464;2311;2775
2018-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;45;584;629
2018-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;544;1817;2361
2018-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;2988;10157;13145
2018-09;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;87;501;588
2018-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;374;2595;2969
2018-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;747;4232;4979
2018-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;999;7145;8144
2018-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE, EPE;39.4054629,-9.1258493;308;2435;2743
2018-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;817;3863;4680
2018-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;877;7243;8120
2018-09;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;0;281;281
2018-09;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;852;2450;3302
2018-09;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;640;1523;2163
2018-10;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;788;3252;4040
2018-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;465;2749;3214
2018-10;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;146;539;685
2018-10;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;225;2024;2249
2018-10;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;0;7;7
2018-10;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;1206;4105;5311
2018-10;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;806;3615;4421
2018-11;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;860;3562;4422
2018-11;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;119;860;979
2018-11;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;159;582;741
2018-11;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1234;8671;9905
2018-11;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;2970;22375;25345
2018-11;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;2092;17902;19994
2018-11;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;0;9;9
2018-11;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1114;9131;10245
2018-11;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;3759;6455;10214
2018-11;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;1967;4263;6230
2018-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;61;778;839
2018-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;1293;2417;3710
2018-12;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;1273;6500;7773
2018-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1046;5388;6434
2018-12;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;1589;3842;5431
2018-12;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;0;0;0
2018-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;861;2066;2927
2018-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1664;5824;7488
2019-01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;88;329;417
2019-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;8;66;74
2019-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;111;696;807
2019-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;114;562;676
2019-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;79;238;317
2019-01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;17;73;90
2019-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;295;1048;1343
2019-01;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;0;32;32
2019-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;481;882;1363
2019-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;145;354;499
2019-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;10;21;31
2019-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;189;410;599
2019-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;30;96;126
2019-02;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;29;141;170
2019-02;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;72;78;150
2019-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;186;1364;1550
2019-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;238;1843;2081
2019-02;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;216;878;1094
2019-02;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;68;0;68
2019-02;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;227;938;1165
2019-02;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;34;181;215
2019-02;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;156;373;529
2019-02;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;170;693;863
2019-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;22;187;209
2019-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;0;0;0
2019-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;119;124;243
2019-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;296;662;958
2019-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;692;5645;6337
2019-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;343;2835;3178
2019-03;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;364;1279;1643
2019-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1381;2504;3885
2019-03;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;100;0;100
2019-03;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;393;986;1379
2019-03;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;220;558;778
2019-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;378;1311;1689
2019-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;223;1250;1473
2019-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;29;262;291
2019-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;416;2509;2925
2019-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;387;1052;1439
2019-04;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;47;260;307
2019-04;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;57;239;296
2019-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;200;1016;1216
2019-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;189;1320;1509
2019-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;448;3703;4151
2019-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1782;3456;5238
2019-05;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;420;3117;3537
2019-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1464;11229;12693
2019-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;2450;3409;5859
2019-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;621;1527;2148
2019-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;532;2225;2757
2019-05;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;509;1857;2366
2019-05;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;332;1688;2020
2019-05;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;101;429;530
2019-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;40;357;397
2019-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;615;2792;3407
2019-06;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;68;359;427
2019-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1240;5085;6325
2019-06;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;646;4800;5446
2019-06;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;544;2932;3476
2019-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;653;5441;6094
2019-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;712;1758;2470
2019-06;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;64;107;171
2019-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;1016;2315;3331
2019-06;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;766;2509;3275
2019-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;316;1985;2301
2019-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;289;1080;1369
2019-07;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;132;808;940
2019-07;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;144;450;594
2019-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;318;1643;1961
2019-07;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;599;4033;4632
2019-07;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;779;5649;6428
2019-07;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE, EPE;39.4054629,-9.1258493;368;1154;1522
2019-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;634;4056;4690
2019-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;139;1491;1630
2019-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;772;6324;7096
2019-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;557;2642;3199
2019-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;920;3027;3947
2019-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;179;652;831
2019-08;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;731;4466;5197
2019-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;441;1589;2030
2019-08;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;171;540;711
2019-08;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;380;2395;2775
2019-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1671;6472;8143
2019-08;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE, EPE;39.4054629,-9.1258493;416;1259;1675
2019-08;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;161;1665;1826
